Gene	Gene Systematic Name	Gene Ontology Term	Gene Ontology Term ID	Qualifier	Aspect	Method	Evidence	Source	Assigned On	Annotation Extension	Reference
MRPS17	YMR188C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2014-12-05		Gan X, et al. (2002) PMID:12392552
MRPL24	YMR193W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2006-11-13		Kitakawa M, et al. (1997) PMID:9151978
MRPL24	YMR193W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR026569	InterPro	2017-01-14		DDB, et al. (2001)
RPL36A	YMR194W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2008-09-15		Otaka E, et al. (1984) PMID:18782943
RPL36A	YMR194W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR000509	InterPro	2017-01-14		DDB, et al. (2001)
MRPL44	YMR225C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2008-11-19		Grohmann L, et al. (1991) PMID:2060626
RPS10B	YMR230W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	NAS	SGD	2008-12-04		Planta RJ and Mager WH (1998) PMID:9559554
RPS10B	YMR230W	structural constituent of ribosome	GO:0003735		molecular function	computational	IBA	GO_Central	2015-05-21		Gaudet P, et al (2010)
RPL20A	YMR242C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IC with cytosolic large ribosomal subunit	SGD	2013-11-09		Ohmayer U, et al. (2013) PMID:23874617
RPL20A	YMR242C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR021138, IPR023573	InterPro	2017-01-14		DDB, et al. (2001)
RPL20A	YMR242C	structural constituent of ribosome	GO:0003735		molecular function	computational	IBA	GO_Central	2015-05-22		Gaudet P, et al (2010)
MRPL33	YMR286W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR005996	InterPro	2017-01-14		DDB, et al. (2001)
MRPL33	YMR286W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2008-11-19		Grohmann L, et al. (1991) PMID:2060626
RLP7	YNL002C	structural constituent of ribosome	GO:0003735		molecular function	computational	IBA	GO_Central	2015-05-22		Gaudet P, et al (2010)
MRP7	YNL005C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR001684, IPR018261	InterPro	2017-01-14		DDB, et al. (2001)
MRP7	YNL005C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2014-12-05		Gan X, et al. (2002) PMID:12392552
RPL9B	YNL067W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR020040, IPR002359, IPR000702	InterPro	2017-01-14		DDB, et al. (2001)
RPL9B	YNL067W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2008-09-15		Otaka E, et al. (1984) PMID:18782943
RPL16B	YNL069C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IC with cytosolic large ribosomal subunit	SGD	2013-11-08		Lee SW, et al. (2002) PMID:11983894
RPL16B	YNL069C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR023563, IPR005755, IPR005822	InterPro	2017-01-14		DDB, et al. (2001)
RPL16B	YNL069C	structural constituent of ribosome	GO:0003735		molecular function	computational	IBA	GO_Central	2015-05-22		Gaudet P, et al (2010)
SWS2	YNL081C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR018269, IPR001892	InterPro	2017-01-14		DDB, et al. (2001)
SWS2	YNL081C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IC with small ribosomal subunit	SGD	2015-02-19		Gan X, et al. (2002) PMID:12392552
RPS7B	YNL096C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR000554	InterPro	2017-01-14		DDB, et al. (2001)
RPS7B	YNL096C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	NAS	SGD	2008-12-03		Planta RJ and Mager WH (1998) PMID:9559554
YNL122C	YNL122C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR021137	InterPro	2017-01-14		DDB, et al. (2001)
YNL122C	YNL122C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2015-06-10		Amunts A, et al. (2014) PMID:24675956
NAM9	YNL137C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2014-12-08		Saveanu C, et al. (2001) PMID:11278769
RPL42A	YNL162W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IC with cytosolic large ribosomal subunit	SGD	2013-11-08		Lee SW, et al. (2002) PMID:11983894
RPL42A	YNL162W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR000552	InterPro	2017-01-14		DDB, et al. (2001)
MRPL22	YNL177C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR005727, IPR001063	InterPro	2017-01-14		DDB, et al. (2001)
MRPL22	YNL177C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2014-12-05		Gan X, et al. (2002) PMID:12392552
RPS3	YNL178W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2008-09-15		Otaka E, et al. (1984) PMID:18782943
RPS3	YNL178W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR005703, IPR001351	InterPro	2017-01-14		DDB, et al. (2001)
MRPL19	YNL185C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR020783, IPR000911, IPR006519	InterPro	2017-01-14		DDB, et al. (2001)
MRPL19	YNL185C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2006-11-13		Kitakawa M, et al. (1997) PMID:9151978
MRPL17	YNL252C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2006-11-13		Kitakawa M, et al. (1997) PMID:9151978
MRPL17	YNL252C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2014-12-05		Gan X, et al. (2002) PMID:12392552
MRPL10	YNL284C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2006-11-13		Kitakawa M, et al. (1997) PMID:9151978
MRPL10	YNL284C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR030878, IPR005749	InterPro	2017-01-14		DDB, et al. (2001)
RPL18B	YNL301C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IC with cytosolic large ribosomal subunit	SGD	2013-11-08		Lee SW, et al. (2002) PMID:11983894
RPL18B	YNL301C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR000039, IPR021132	InterPro	2017-01-14		DDB, et al. (2001)
RPL18B	YNL301C	structural constituent of ribosome	GO:0003735		molecular function	computational	IBA	GO_Central	2015-05-21		Gaudet P, et al (2010)
RPS19B	YNL302C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2006-11-03		Otaka E, et al. (1982) PMID:6814480
RPS19B	YNL302C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR018277, IPR001266	InterPro	2017-01-14		DDB, et al. (2001)
MRPS18	YNL306W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR001971	InterPro	2017-01-14		DDB, et al. (2001)
MRPS18	YNL306W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2006-11-13		Kitakawa M, et al. (1997) PMID:9151978
MRPS18	YNL306W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2013-11-22		Gan X, et al. (2002) PMID:12392552
MRPL50	YNR022C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2014-12-05		Gan X, et al. (2002) PMID:12392552
MRPS12	YNR036C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR006032, IPR005679	InterPro	2017-01-14		DDB, et al. (2001)
MRPS12	YNR036C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	ISA with AAG30937.1	SGD	2008-11-11		Gan X, et al. (2002) PMID:12392552
MRPS12	YNR036C	structural constituent of ribosome	GO:0003735		molecular function	computational	IBA	GO_Central	2015-07-20		Gaudet P, et al (2010)
RSM19	YNR037C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR002222, IPR023575	InterPro	2017-01-14		DDB, et al. (2001)
RSM19	YNR037C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2014-12-08		Saveanu C, et al. (2001) PMID:11278769
RPP2A	YOL039W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2014-02-03		Ben-Shem A, et al. (2011) PMID:22096102
RPP2A	YOL039W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR027534	InterPro	2017-01-14		DDB, et al. (2001)
RPS15	YOL040C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	NAS	SGD	2008-12-04		Planta RJ and Mager WH (1998) PMID:9559554
RPS15	YOL040C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR005713, IPR002222, IPR023575	InterPro	2017-01-14		DDB, et al. (2001)
RPS15	YOL040C	structural constituent of ribosome	GO:0003735		molecular function	computational	IBA	GO_Central	2014-09-05		Gaudet P, et al (2010)
RPL18A	YOL120C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IC with cytosolic large ribosomal subunit	SGD	2013-11-08		Lee SW, et al. (2002) PMID:11983894
RPL18A	YOL120C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR000039, IPR021132	InterPro	2017-01-14		DDB, et al. (2001)
RPL18A	YOL120C	structural constituent of ribosome	GO:0003735		molecular function	computational	IBA	GO_Central	2015-05-21		Gaudet P, et al (2010)
RPS19A	YOL121C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2006-11-03		Otaka E, et al. (1982) PMID:6814480
RPS19A	YOL121C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR018277, IPR001266	InterPro	2017-01-14		DDB, et al. (2001)
RPL25	YOL127W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IC with cytosolic large ribosomal subunit	SGD	2013-11-08		Lee SW, et al. (2002) PMID:11983894
RPL25	YOL127W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR012678, IPR013025	InterPro	2017-01-14		DDB, et al. (2001)
RPL25	YOL127W	structural constituent of ribosome	GO:0003735		molecular function	computational	IBA	GO_Central	2015-05-22		Gaudet P, et al (2010)
RPL3	YOR063W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IC with cytosolic large ribosomal subunit	SGD	2013-11-08		Lee SW, et al. (2002) PMID:11983894
RPL3	YOR063W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR000597	InterPro	2017-01-14		DDB, et al. (2001)
RPL3	YOR063W	structural constituent of ribosome	GO:0003735		molecular function	computational	IBA	GO_Central	2015-05-21		Gaudet P, et al (2010)
RPS7A	YOR096W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR000554	InterPro	2017-01-14		DDB, et al. (2001)
RPS7A	YOR096W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	NAS	SGD	2008-12-03		Planta RJ and Mager WH (1998) PMID:9559554
MRPL23	YOR150W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2006-11-13		Kitakawa M, et al. (1997) PMID:9151978
MRPL23	YOR150W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR023563, IPR005822, IPR005823	InterPro	2017-01-14		DDB, et al. (2001)
MRPL23	YOR150W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2014-12-05		Gan X, et al. (2002) PMID:12392552
PET123	YOR158W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2014-12-08		Saveanu C, et al. (2001) PMID:11278769
RPS28A	YOR167C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2008-10-20		Yeh YC, et al. (1986) PMID:3533916
RPS28A	YOR167C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR000289	InterPro	2017-01-14		DDB, et al. (2001)
RPS30B	YOR182C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	NAS	SGD	2008-12-05		Planta RJ and Mager WH (1998) PMID:9559554
RPS30B	YOR182C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR006846	InterPro	2017-01-14		DDB, et al. (2001)
RPS30B	YOR182C	structural constituent of ribosome	GO:0003735		molecular function	computational	IBA	GO_Central	2015-05-21		Gaudet P, et al (2010)
RPL33B	YOR234C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2008-09-15		Otaka E, et al. (1984) PMID:18782943
RPL33B	YOR234C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR018266, IPR001780	InterPro	2017-01-14		DDB, et al. (2001)
RPS10A	YOR293W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	NAS	SGD	2008-12-04		Planta RJ and Mager WH (1998) PMID:9559554
RPS10A	YOR293W	structural constituent of ribosome	GO:0003735		molecular function	computational	IBA	GO_Central	2015-05-21		Gaudet P, et al (2010)
RPL20B	YOR312C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IC with cytosolic large ribosomal subunit	SGD	2013-11-09		Ohmayer U, et al. (2013) PMID:23874617
RPL20B	YOR312C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR021138, IPR023573	InterPro	2017-01-14		DDB, et al. (2001)
RPL20B	YOR312C	structural constituent of ribosome	GO:0003735		molecular function	computational	IBA	GO_Central	2015-05-22		Gaudet P, et al (2010)
RPS12	YOR369C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR000530	InterPro	2017-01-14		DDB, et al. (2001)
RPS12	YOR369C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2008-09-22		Yeh YC, et al. (1986) PMID:3533916
MRPS16	YPL013C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR020592, IPR000307	InterPro	2017-01-14		DDB, et al. (2001)
MRPS16	YPL013C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2014-12-05		Gan X, et al. (2002) PMID:12392552
RPL21B	YPL079W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IC with cytosolic large ribosomal subunit	SGD	2013-11-08		Lee SW, et al. (2002) PMID:11983894
RPL21B	YPL079W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR001147, IPR018259	InterPro	2017-01-14		DDB, et al. (2001)
RPL21B	YPL079W	structural constituent of ribosome	GO:0003735		molecular function	computational	IBA	GO_Central	2015-05-22		Gaudet P, et al (2010)
RPS9A	YPL081W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2006-11-03		Otaka E, et al. (1982) PMID:6814480
RPS9A	YPL081W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR005710	InterPro	2017-01-14		DDB, et al. (2001)
RPS6A	YPL090C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2006-11-03		Otaka E, et al. (1982) PMID:6814480
RPS6A	YPL090C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR001377, IPR018282, IPR014401	InterPro	2017-01-14		DDB, et al. (2001)
MRP51	YPL118W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2001-01-18		Green-Willms NS, et al. (1998) PMID:9528754
MRP51	YPL118W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2014-12-08		Saveanu C, et al. (2001) PMID:11278769
RPL5	YPL131W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IC with cytosolic large ribosomal subunit	SGD	2013-11-08		Lee SW, et al. (2002) PMID:11983894
RPL5	YPL131W	structural constituent of ribosome	GO:0003735		molecular function	computational	IBA	GO_Central	2015-05-21		Gaudet P, et al (2010)
RPL5	YPL131W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR005485	InterPro	2017-01-14		DDB, et al. (2001)
RPL33A	YPL143W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2008-09-15		Otaka E, et al. (1984) PMID:18782943
RPL33A	YPL143W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR018266, IPR001780	InterPro	2017-01-14		DDB, et al. (2001)
MRPL40	YPL173W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR005825	InterPro	2017-01-14		DDB, et al. (2001)
MRPL40	YPL173W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2006-11-13		Kitakawa M, et al. (1997) PMID:9151978
MRPL40	YPL173W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2014-12-05		Gan X, et al. (2002) PMID:12392552
RTC6	YPL183W-A	structural constituent of ribosome	GO:0003735		molecular function	manually curated	ISA with ACB04361.1	SGD	2008-11-11		Gan X, et al. (2002) PMID:12392552
RTC6	YPL183W-A	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR000473	InterPro	2017-01-14		DDB, et al. (2001)
RPL7B	YPL198W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IC with cytosolic large ribosomal subunit	SGD	2013-11-09		Ohmayer U, et al. (2013) PMID:23874617
RPL7B	YPL198W	structural constituent of ribosome	GO:0003735		molecular function	computational	IBA	GO_Central	2015-05-22		Gaudet P, et al (2010)
RPL1A	YPL220W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IC with cytosolic large ribosomal subunit	SGD	2013-12-07		Lee SW, et al. (2002) PMID:11983894
RPL1A	YPL220W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR002143	InterPro	2017-01-14		DDB, et al. (2001)
RPL36B	YPL249C-A	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2008-09-15		Otaka E, et al. (1984) PMID:18782943
RPL36B	YPL249C-A	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR000509	InterPro	2017-01-14		DDB, et al. (2001)
RPL43A	YPR043W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IC with cytosolic large ribosomal subunit	SGD	2013-11-08		Lee SW, et al. (2002) PMID:11983894
RPL43A	YPR043W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR002674, IPR011331	InterPro	2017-01-14		DDB, et al. (2001)
MRPL51	YPR100W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2014-12-05		Gan X, et al. (2002) PMID:12392552
RPL11A	YPR102C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IC with cytosolic large ribosomal subunit	SGD	2013-11-08		Lee SW, et al. (2002) PMID:11983894
RPL11A	YPR102C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR020929, IPR002132	InterPro	2017-01-14		DDB, et al. (2001)
RPL11A	YPR102C	structural constituent of ribosome	GO:0003735		molecular function	computational	IBA	GO_Central	2015-05-21		Gaudet P, et al (2010)
RPS23B	YPR132W	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2008-09-17		Otaka E, et al. (1982) PMID:6814480
RPS23B	YPR132W	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR005680, IPR006032	InterPro	2017-01-14		DDB, et al. (2001)
MRP2	YPR166C	structural constituent of ribosome	GO:0003735		molecular function	computational	IEA with IPR018271, IPR001209	InterPro	2017-01-14		DDB, et al. (2001)
MRP2	YPR166C	structural constituent of ribosome	GO:0003735		molecular function	manually curated	IDA	SGD	2014-12-08		Saveanu C, et al. (2001) PMID:11278769
